customer;state;gender;education;customer_lifetime_value;income;monthly_premium_auto;policy_type;vehicle_class;total_claim_amount;number_of_open_complaints
QZ44356;Arizona;F;Bachelor;697953;0;94;Personal Auto;Four-Door Car;1131;0
AI49188;Nevada;F;Bachelor;1288743;48767;108;Personal Auto;Two-Door Car;566;0
WW63253;California;M;Bachelor;764586;0;106;Corporate Auto;SUV;529;0
GA49547;Washington;M;High School or Below;536307;36357;68;Personal Auto;Four-Door Car;17;0
OC83172;Oregon;F;Bachelor;825629;62902;69;Personal Auto;Two-Door Car;159;0
XZ87318;Oregon;F;College;538089;55350;67;Corporate Auto;Four-Door Car;321;0
CF85061;Arizona;M;Master;721610;0;101;Corporate Auto;Four-Door Car;363;0
DY87989;Oregon;M;Bachelor;2412750;14072;71;Corporate Auto;Four-Door Car;511;0
BQ94931;Oregon;F;College;738817;28812;93;Special Auto;Four-Door Car;425;0
SX51350;California;M;College;473899;0;67;Personal Auto;Four-Door Car;482;0
VQ65197;California;U;College;819719;0;110;Personal Auto;SUV;528;0
DP39365;California;U;Master;879879;77026;110;Corporate Auto;Four-Door Car;472;2
SJ95423;Arizona;U;High School or Below;881901;99845;110;Corporate Auto;SUV;528;1
IL66569;California;U;College;538443;83689;70;Corporate Auto;Four-Door Car;307;2
BW63560;Oregon;U;Bachelor;746313;24599;64;Corporate Auto;Four-Door Car;42;1
FV94802;Nevada;U;High School or Below;256686;25049;67;Personal Auto;Two-Door Car;454;0
OE15005;California;U;College;394524;28855;101;Personal Auto;SUV;647;0
WC83389;Oregon;U;College;571033;51148;72;Personal Auto;Four-Door Car;308;0
FL50705;California;U;High School or Below;816261;66140;101;Corporate Auto;Four-Door Car;484;0
ZK25313;Oregon;U;High School or Below;287205;57749;74;Personal Auto;Two-Door Car;355;0
QK46697;Washington;M;Bachelor;617710;61040;79;Personal Auto;Two-Door Car;20;1
YH23384;Arizona;U;Bachelor;2412750;14072;71;Personal Auto;Four-Door Car;511;0
TZ98966;Nevada;U;Bachelor;245019;0;73;Corporate Auto;Four-Door Car;554;3
HM55802;California;U;Bachelor;239210;17870;61;Corporate Auto;Four-Door Car;439;0
FS42516;Oregon;U;College;580206;97541;72;Personal Auto;Four-Door Car;389;0
US89481;California;U;Bachelor;394637;0;111;Personal Auto;Four-Door Car;799;0
HS14476;Washington;M;College;916206;29723;80;Personal Auto;Four-Door Car;20;0
GE62437;Arizona;U;College;1290256;86584;111;Personal Auto;Four-Door Car;532;2
EJ77678;Oregon;U;Master;323536;75690;80;Personal Auto;Four-Door Car;384;1
SV85652;Arizona;U;College;245458;23158;63;Personal Auto;Four-Door Car;322;1
UL64533;Nevada;U;High School or Below;1897545;65999;237;Corporate Auto;Luxury;615;0
PF41800;California;U;Bachelor;471532;0;65;Personal Auto;Four-Door Car;308;0
HD95276;Washington;F;College;473787;0;130;Personal Auto;SUV;23;0
SK67821;Oregon;U;Bachelor;493291;37260;62;Corporate Auto;Four-Door Car;15;0
YV55495;Arizona;U;High School or Below;574422;68987;71;Personal Auto;Four-Door Car;204;0
KY38074;California;U;Bachelor;1389173;42305;117;Personal Auto;Four-Door Car;561;0
DM79012;Oregon;U;Master;738097;65706;91;Personal Auto;Four-Door Car;436;0
CM61827;Oregon;U;Bachelor;309003;0;90;Personal Auto;Two-Door Car;648;0
WC35801;Arizona;U;High School or Below;252163;53243;66;Personal Auto;Four-Door Car;157;2
QG25316;Nevada;U;High School or Below;265206;0;70;Corporate Auto;Two-Door Car;484;1
MB98372;Oregon;U;College;277104;50071;71;Corporate Auto;Two-Door Car;18;0
IL19217;California;U;Bachelor;393900;60021;99;Personal Auto;Four-Door Car;882;0
SR38658;Arizona;U;High School or Below;1223187;43244;103;Personal Auto;Luxury;494;0
YD87931;Washington;M;Doctor;495165;46896;35354;Personal Auto;Four-Door Car;31;1
HG65722;Oregon;U;Doctor;1281910;10105;172;Personal Auto;SUV;0;3
BU27331;Arizona;U;Bachelor;446851;0;73;Personal Auto;Four-Door Car;579;3
XM45289;Oregon;U;High School or Below;551434;23218;71;Personal Auto;Two-Door Car;447;0
KP34198;California;U;Bachelor;334387;0;92;Corporate Auto;Four-Door Car;529;0
SH90947;Arizona;U;High School or Below;229447;0;62;Personal Auto;Four-Door Car;313;0
WE95729;Oregon;U;College;3670742;24804;104;Personal Auto;SUV;593;0
PY51963;California;U;Bachelor;3347334;33190;106;Corporate Auto;SUV;508;0
RB69909;Nevada;U;High School or Below;798343;36014;69;Special Auto;Four-Door Car;173;3
NW21079;Washington;F;Master;487938;67163;61;Personal Auto;Two-Door Car;33;2
FR46645;California;U;Bachelor;429399;16701;113;Personal Auto;Four-Door Car;831;0
SY17488;Arizona;U;College;716439;46623;91;Corporate Auto;Four-Door Car;436;0
AP67935;California;U;College;761951;64749;64;Special Auto;Four-Door Car;302;0
FS37417;Arizona;U;High School or Below;395800;0;101;Personal Auto;SUV;484;0
ML29312;Oregon;U;High School or Below;449949;16969;124;Personal Auto;SUV;704;2
UB61619;Oregon;U;Master;405956;11621;108;Personal Auto;Four-Door Car;518;0
CD86811;Arizona;U;Bachelor;445811;17622;65;Personal Auto;Four-Door Car;312;1
RU83859;California;U;Bachelor;811033;11489;105;Personal Auto;Two-Door Car;504;0
FG63582;Oregon;U;Bachelor;333976;0;94;Personal Auto;Two-Door Car;863;0
NN71951;California;U;High School or Below;2426101;66525;100;Personal Auto;SUV;104;0
WB37082;Arizona;U;Bachelor;661397;0;63;Personal Auto;Four-Door Car;676;0
SM52139;Washington;U;College;293069;33663;73;Personal Auto;Four-Door Car;350;0
FL82372;Oregon;U;College;867219;22547;112;Corporate Auto;SUV;537;0
DP45816;Arizona;U;High School or Below;1163866;61486;97;Personal Auto;Two-Door Car;465;0
GW33762;Oregon;U;Bachelor;684615;0;95;Personal Auto;Two-Door Car;456;0
RZ33670;California;U;College;1172777;29879;102;Personal Auto;Four-Door Car;500;0
PY70169;Oregon;U;High School or Below;2264383;93011;113;Personal Auto;SUV;281;0
MO91628;Oregon;U;Master;261447;65186;65;Personal Auto;Two-Door Car;5;0
HW87852;Oregon;U;Master;245175;26840;64;Personal Auto;Four-Door Car;307;2
HB20453;Oregon;U;Bachelor;678127;0;104;Personal Auto;Luxury;982;1
BN87372;Oregon;U;Bachelor;497480;75644;65;Personal Auto;Two-Door Car;467;3
YX23800;Oregon;U;Bachelor;859160;38984;73;Personal Auto;Four-Door Car;350;0
DZ87709;Oregon;U;High School or Below;559216;71811;71;Personal Auto;Four-Door Car;29;0
XW13033;Nevada;U;College;800947;20961;67;Personal Auto;Four-Door Car;321;0
OM82309;California;U;Bachelor;5816655;61321;186;Personal Auto;Luxury;427;1
ZU35962;California;U;College;802522;0;77;Personal Auto;Two-Door Car;25;0
VH85817;California;U;High School or Below;578018;51066;74;Personal Auto;Four-Door Car;787;0
DT85712;California;U;Doctor;411853;34378;102;Personal Auto;SUV;489;0
YJ88573;Nevada;U;Master;252307;43072;63;Personal Auto;Four-Door Car;302;0
SQ19467;Oregon;U;College;655421;25222;90;Personal Auto;Four-Door Car;475;0
YB66933;Washington;F;Bachelor;538275;77552;68;Corporate Auto;Four-Door Car;45;1
ET79815;California;U;College;592672;23091;96;Personal Auto;Four-Door Car;460;5
QC35222;California;U;Bachelor;268347;48269;69;Corporate Auto;Four-Door Car;282;3
CJ15590;Oregon;U;Bachelor;269518;32720;67;Personal Auto;Four-Door Car;321;0
OI48267;California;U;College;604702;20396;76;Personal Auto;Four-Door Car;364;1
JY67916;Oregon;U;College;1317101;21513;119;Personal Auto;Two-Door Car;679;1
OW15518;Washington;F;College;1595001;0;87;Personal Auto;Two-Door Car;46;1
CZ33664;Oregon;U;Bachelor;252765;80744;63;Corporate Auto;Four-Door Car;11;0
WK30175;Oregon;U;Bachelor;267209;52822;67;Corporate Auto;Two-Door Car;350;0
ON44465;California;U;High School or Below;531329;0;77;Personal Auto;Four-Door Car;863;1
TV87155;Oregon;U;Bachelor;2094619;69738;74;Personal Auto;Four-Door Car;492;1
KH48895;Arizona;U;Master;837535;17780;109;Personal Auto;SUV;132;0
NZ30757;California;U;Bachelor;480166;18107;62;Personal Auto;Four-Door Car;297;0
RI22468;Arizona;U;Bachelor;574594;57740;74;Personal Auto;Four-Door Car;269;3
FZ30935;Oregon;U;College;606611;32627;76;Personal Auto;Two-Door Car;380;0
UG93476;California;U;College;800230;0;107;Personal Auto;SUV;513;0
AB96670;California;U;College;239391;0;70;Personal Auto;Four-Door Car;425;0
XK64261;Oregon;U;Bachelor;476281;65795;62;Corporate Auto;Two-Door Car;49;1
EV68375;California;U;College;433038;60475;107;Personal Auto;Four-Door Car;513;0
UN51653;California;U;High School or Below;940272;0;130;Personal Auto;SUV;936;0
TO96662;Oregon;U;Bachelor;696669;41837;88;Personal Auto;Four-Door Car;142;0
MR52087;California;U;Bachelor;769406;32303;65;Personal Auto;Four-Door Car;45;0
DE75225;Oregon;U;High School or Below;871756;0;117;Personal Auto;SUV;561;1
EP80820;California;U;Bachelor;592874;40531;74;Personal Auto;Two-Door Car;30;0
GU99037;Oregon;U;College;245297;79898;62;Corporate Auto;Four-Door Car;271;1
WI57118;California;U;College;670157;56398;85;Personal Auto;Four-Door Car;408;0
GP39118;Washington;M;High School or Below;499655;71600;63;Personal Auto;Two-Door Car;46;0
MQ14219;Arizona;U;College;849269;27804;109;Personal Auto;SUV;784;0
KN20603;Oregon;U;Bachelor;771349;45506;66;Personal Auto;Four-Door Car;316;2
SG20925;Washington;F;Master;518579;99428;6464;Personal Auto;Four-Door Car;48;1
JI70886;California;U;High School or Below;729006;0;102;Corporate Auto;SUV;489;1
VF72557;Oregon;U;High School or Below;477294;20993;133;Personal Auto;SUV;638;0
OX28638;Arizona;U;High School or Below;680649;37839;86;Personal Auto;Two-Door Car;465;0
SK55033;California;U;Bachelor;246978;92711;62;Personal Auto;Two-Door Car;368;0
OO88645;California;U;College;310392;74665;78;Corporate Auto;Four-Door Car;236;2
FM14335;Washington;F;College;1048491;61108;89;Personal Auto;Four-Door Car;49;0
CW82151;California;U;Bachelor;890273;46833;112;Personal Auto;Luxury;64;0
DY22043;Oregon;U;High School or Below;549944;88768;68;Personal Auto;Two-Door Car;326;0
SH36774;California;U;High School or Below;1502359;28262;192;Personal Auto;Luxury;921;0
EM43724;Nevada;U;Bachelor;250910;33555;63;Personal Auto;Four-Door Car;101;0
FH85960;Oregon;U;College;3122174;42780;113;Personal Auto;Four-Door Car;542;1
XA55993;Oregon;U;Master;313350;58850;78;Personal Auto;Four-Door Car;143;0
GO36627;Arizona;U;College;383745;21880;97;Special Auto;Four-Door Car;424;0
QH48047;Oregon;U;College;1179049;25251;66;Personal Auto;Four-Door Car;316;0
HS28694;Washington;F;High School or Below;282986;25317;71;Personal Auto;Two-Door Car;50;0
UH65059;Arizona;U;High School or Below;430580;24188;109;Personal Auto;Luxury;523;0
FV21968;Nevada;U;Bachelor;597397;41611;74;Special Auto;Four-Door Car;113;0
QA87025;Oregon;U;Bachelor;567044;28406;72;Personal Auto;Four-Door Car;192;1
TQ13499;Arizona;U;College;473174;69833;118;Personal Auto;Four-Door Car;828;0
BU44523;Arizona;U;High School or Below;802637;0;74;Corporate Auto;Four-Door Car;532;0
MS41162;Arizona;U;High School or Below;402296;0;117;Personal Auto;SUV;975;0
PU25891;Oregon;U;High School or Below;961831;80536;119;Special Auto;Luxury;53;0
LH92841;Washington;F;Bachelor;725595;88891;89;Personal Auto;Four-Door Car;50;0
SX26335;Oregon;U;College;955292;97732;79;Personal Auto;Four-Door Car;289;0
AZ95587;Arizona;F;Bachelor;1038855;61222;89;Special Auto;Four-Door Car;392;0
DS81757;Oregon;M;College;247012;0;74;Personal Auto;Two-Door Car;721;0
OJ94107;Arizona;M;Master;561906;50335;140;Personal Auto;SUV;456;0
LP84436;California;F;High School or Below;904711;0;127;Personal Auto;Luxury;1087;0
FF22360;Washington;F;Doctor;268731;82210;68;Personal Auto;Four-Door Car;51;4
LM19287;Oregon;F;High School or Below;373150;0;96;Personal Auto;Four-Door Car;460;0
ZU18643;Nevada;M;Bachelor;366077;64495;92;Corporate Auto;Four-Door Car;251;0
AZ82578;California;F;College;792882;0;72;Corporate Auto;Four-Door Car;345;0
XC67861;Arizona;F;Bachelor;501175;28859;67;Corporate Auto;Two-Door Car;321;3
YC43143;Arizona;F;High School or Below;798825;77330;99;Personal Auto;Four-Door Car;99;0
EK59571;Oregon;M;College;388545;0;105;Corporate Auto;Four-Door Car;504;0
PA38372;Washington;F;High School or Below;935773;33060;117;Personal Auto;Four-Door Car;56;0
RO18530;Washington;M;Master;254068;42557;65;Personal Auto;Four-Door Car;57;0
PD27940;Arizona;M;High School or Below;488516;26372;126;Personal Auto;SUV;604;0
BS77946;Arizona;F;Bachelor;975330;17514;127;Personal Auto;SUV;8;0
YM50253;California;F;Bachelor;294615;89270;74;Personal Auto;Four-Door Car;316;0
NR15332;California;M;High School or Below;258111;29757;65;Personal Auto;Four-Door Car;312;0
RC62865;Oregon;M;College;351738;51814;92;Personal Auto;Four-Door Car;56;0
CC15295;Oregon;F;Bachelor;974335;24028;82;Personal Auto;Four-Door Car;393;0
KA61892;Arizona;M;College;387364;28142;105;Personal Auto;Luxury;701;0
OS94884;Arizona;F;Bachelor;764928;52705;64;Personal Auto;Two-Door Car;128;1
ND87334;California;M;High School or Below;228759;0;63;Corporate Auto;Two-Door Car;679;0
OY51402;Washington;F;High School or Below;825576;54040;103;Personal Auto;SUV;59;0
YL74911;California;F;College;871492;0;118;Personal Auto;SUV;566;0
GK92563;Washington;F;Doctor;681923;22492;85;Personal Auto;Two-Door Car;61;0
HL53154;California;M;Bachelor;741619;0;77;Personal Auto;Four-Door Car;554;2
RI78966;Oregon;M;Master;777115;21876;68;Personal Auto;Four-Door Car;465;0
IC13702;California;F;Bachelor;696834;0;69;Personal Auto;Four-Door Car;496;1
BE10809;California;F;High School or Below;425028;0;61;Personal Auto;Four-Door Car;292;1
HT87217;Oregon;F;High School or Below;1977656;70699;82;Personal Auto;Four-Door Car;256;0
TH95618;California;F;High School or Below;2134346;0;74;Personal Auto;Four-Door Car;355;1
TS19868;California;M;College;241313;27501;63;Personal Auto;Four-Door Car;542;0
LP45550;Oregon;F;Doctor;1536384;15897;101;Personal Auto;Four-Door Car;303;0
QR87004;Nevada;F;College;845696;25141;73;Personal Auto;Four-Door Car;25;1
OE75747;Nevada;F;College;218964;0;61;Personal Auto;Four-Door Car;292;3
DX91392;California;M;High School or Below;578018;51066;74;Personal Auto;Four-Door Car;787;0
AB72731;California;F;Bachelor;463998;28358;117;Personal Auto;Luxury;84;0
GX84338;Washington;F;Doctor;382443;62530;95;Personal Auto;Four-Door Car;61;0
IS12901;Arizona;F;Bachelor;596811;90972;74;Personal Auto;Two-Door Car;232;0
BN90616;Washington;F;Bachelor;859033;63110;72;Personal Auto;Four-Door Car;68;0
HH90090;California;F;Bachelor;407663;29549;104;Personal Auto;Luxury;710;0
IU25463;California;F;Bachelor;1225260;0;115;Personal Auto;Four-Door Car;552;1
KC11055;Nevada;F;Bachelor;1693627;39411;217;Personal Auto;Luxury;1122;2
PD33979;Oregon;M;High School or Below;489243;21709;62;Personal Auto;Four-Door Car;408;0
NK71023;Nevada;M;Bachelor;994230;67890;85;Personal Auto;Four-Door Car;408;0
AB13432;California;M;Bachelor;373583;0;110;Personal Auto;SUV;792;0
OZ97704;California;F;High School or Below;1311752;84311;111;Personal Auto;SUV;532;4
UF46533;California;F;College;457452;99316;114;Corporate Auto;SUV;754;0
XP47431;Arizona;F;Bachelor;547006;54507;138;Personal Auto;SUV;702;0
GK73582;California;F;Bachelor;297884;64586;76;Personal Auto;Four-Door Car;206;0
RV98763;Oregon;M;College;641096;61709;82;Personal Auto;Four-Door Car;275;2
II62831;California;M;Master;447902;94656;111;Special Auto;SUV;459;1
XK33449;California;F;High School or Below;238373;0;69;Special Auto;Two-Door Car;496;0
TR85083;California;M;Bachelor;276449;61085;70;Personal Auto;Two-Door Car;336;1
EO95328;Oregon;F;Bachelor;792010;89284;67;Personal Auto;Two-Door Car;321;3
EN21086;Arizona;F;High School or Below;688909;0;63;Personal Auto;Four-Door Car;302;0
YL83902;Washington;F;Bachelor;327419;31686;81;Personal Auto;Four-Door Car;430;0
AZ62651;Oregon;M;High School or Below;995170;56855;255;Corporate Auto;Luxury;1836;0
ZW25874;Oregon;M;Bachelor;252155;53703;67;Special Auto;Four-Door Car;67;2
EH41854;Washington;F;High School or Below;2370611;0;96;Personal Auto;Two-Door Car;844;1
MW70227;California;M;College;604702;20396;76;Personal Auto;Four-Door Car;364;1
SL22297;California;F;Master;1114030;27679;150;Personal Auto;SUV;722;0
RV14138;Nevada;F;Bachelor;433406;23904;123;Personal Auto;SUV;590;3
UO62808;Arizona;F;High School or Below;279974;65351;69;Corporate Auto;Four-Door Car;481;0
ZX64745;California;M;College;792313;0;113;Personal Auto;SUV;1124;0
FL34139;California;M;High School or Below;368811;0;63;Personal Auto;Four-Door Car;669;3
TS11219;California;M;College;1206745;0;116;Personal Auto;SUV;1284;0
XX12304;California;F;College;292497;64459;72;Personal Auto;Four-Door Car;240;0
SD64087;California;M;College;1501409;32961;190;Corporate Auto;SUV;912;0
OY38576;Oregon;F;High School or Below;927723;71416;116;Corporate Auto;SUV;556;0
BG76355;Washington;F;Bachelor;627412;68964;78;Personal Auto;Four-Door Car;115;0
IP66913;California;M;High School or Below;388664;78108;98;Personal Auto;Two-Door Car;470;0
LE95702;California;M;College;438627;10621;67;Special Auto;Four-Door Car;321;0
KX54357;Washington;M;College;1136526;84910;95;Corporate Auto;Two-Door Car;383;0
EZ78112;California;F;High School or Below;561096;77493;70;Special Auto;Four-Door Car;307;0
XN16891;Arizona;M;College;291289;81097;74;Personal Auto;Four-Door Car;355;0
XK31350;Oregon;F;College;691572;96610;85;Corporate Auto;Four-Door Car;520;0
CC30924;Oregon;M;College;626266;30110;159;Corporate Auto;Luxury;466;0
IT78748;Oregon;F;High School or Below;650339;22081;84;Special Auto;Two-Door Car;451;0
KY33386;Washington;F;High School or Below;800739;0;112;Personal Auto;Luxury;537;0
CO44221;California;M;College;292991;98473;72;Personal Auto;Four-Door Car;345;0
LK60013;Oregon;F;Bachelor;596955;97431;74;Personal Auto;Four-Door Car;355;0
DE21533;California;M;Bachelor;547315;93870;69;Personal Auto;Four-Door Car;331;0
YS94121;Nevada;M;High School or Below;564539;50366;72;Personal Auto;Four-Door Car;428;0
UK68427;Washington;M;High School or Below;636926;34498;83;Personal Auto;Two-Door Car;398;0
TE49565;Oregon;F;College;1183376;16552;103;Personal Auto;SUV;494;0
RA88421;Oregon;F;College;612110;26787;77;Personal Auto;Four-Door Car;369;0
KQ51983;Nevada;M;College;515936;0;74;Personal Auto;Two-Door Car;831;0
CD88896;Nevada;F;High School or Below;251459;43860;65;Corporate Auto;Four-Door Car;156;0
YV22553;Arizona;M;High School or Below;866861;21474;114;Corporate Auto;SUV;373;2
WU14435;California;M;Bachelor;496096;18174;66;Corporate Auto;Four-Door Car;395;0
XV84099;Arizona;F;Bachelor;550413;0;73;Corporate Auto;Four-Door Car;350;0
RI24911;Arizona;M;College;750745;60920;64;Personal Auto;Two-Door Car;231;0
KO26461;Arizona;M;High School or Below;3226985;41520;90;Personal Auto;Four-Door Car;289;0
HI14283;Oregon;F;Bachelor;565703;0;152;Personal Auto;SUV;729;0
PT50227;Arizona;M;High School or Below;506175;0;68;Personal Auto;Two-Door Car;326;0
BH36570;California;M;Bachelor;591278;72208;73;Personal Auto;Two-Door Car;350;0
TX17484;California;F;Bachelor;1518227;53863;63;Personal Auto;Four-Door Car;105;0
CT41158;Washington;M;College;1074703;66446;136;Corporate Auto;SUV;639;0
AO87348;Washington;M;College;205062;0;61;Personal Auto;Four-Door Car;292;0
DE55857;Washington;F;Bachelor;246544;64997;63;Personal Auto;Four-Door Car;383;1
LF66923;Nevada;F;High School or Below;534312;64460;66;Corporate Auto;Two-Door Car;316;0
CN24514;Arizona;F;College;811982;46618;67;Personal Auto;Four-Door Car;99;0
UW32074;Oregon;F;College;460526;0;64;Corporate Auto;Four-Door Car;307;0
HP36979;California;M;College;640878;49988;84;Personal Auto;Two-Door Car;566;5
PP40919;California;F;College;237653;0;91;Personal Auto;Two-Door Car;436;5
RO73268;California;M;Bachelor;321107;16269;86;Corporate Auto;Two-Door Car;412;0
HO61691;Arizona;F;Bachelor;509452;72006;64;Personal Auto;Four-Door Car;307;0
BS13062;Arizona;F;High School or Below;2575527;0;81;Personal Auto;Four-Door Car;388;2
FO35655;Oregon;M;Bachelor;867222;0;245;Corporate Auto;Luxury;2345;0
HR10526;California;M;Master;804473;44320;67;Personal Auto;Four-Door Car;321;0
IA63417;Arizona;F;High School or Below;400151;19782;108;Personal Auto;Two-Door Car;773;0
BH35016;Nevada;F;Bachelor;1670611;63933;70;Personal Auto;Two-Door Car;424;0
PK52952;Arizona;M;Doctor;854441;28224;109;Personal Auto;SUV;523;0
OD76309;Washington;F;College;780531;21073;106;Personal Auto;SUV;508;1
IL28481;Oregon;M;Bachelor;611275;63243;77;Personal Auto;Four-Door Car;364;0
GY55092;Nevada;M;High School or Below;477294;20993;133;Personal Auto;SUV;638;0
UF33451;Oregon;F;Bachelor;1097909;94827;135;Personal Auto;SUV;354;0
CF15558;California;F;Master;500426;39161;63;Personal Auto;Two-Door Car;283;1
JM62924;Washington;M;Bachelor;1322304;37534;84;Personal Auto;Four-Door Car;403;2
EM66435;Oregon;F;Bachelor;262331;80210;65;Corporate Auto;Four-Door Car;20;0
QX45933;California;M;Bachelor;1784019;0;62;Personal Auto;Four-Door Car;385;0
JI71369;California;F;College;510611;30110;64;Personal Auto;Four-Door Car;140;0
JU93290;Arizona;F;College;1793060;21708;68;Personal Auto;Four-Door Car;326;0
GU66096;Arizona;M;High School or Below;545734;94731;67;Personal Auto;Four-Door Car;321;0
UC33108;California;M;Bachelor;656364;32375;83;Personal Auto;Four-Door Car;398;0
LW93867;Oregon;M;College;481252;16531;63;Corporate Auto;Four-Door Car;102;0
